frame_number,punch_type
26,jab
69,cross
102,hook
144,hook
179,uppercut
211,uppercut
244,hook
280,cross
315,jab
365,hook
400,cross
436,jab
470,hook
504,hook
536,uppercut
570,uppercut
609,hook
640,hook
678,uppercut
720,hook
771,uppercut
815,hook
853,hook
887,jab
917,cross
951,hook
988,cross
1028,jab
1062,cross
1101,jab
1141,cross
1177,uppercut
1228,hook
1266,hook
1303,jab
1340,cross
1375,uppercut
1410,uppercut
1449,uppercut
1488,uppercut
1528,uppercut
1563,uppercut
1599,uppercut
1627,uppercut
1662,hook
1695,cross
1732,hook
1772,hook
1805,jab
1842,cross
1877,uppercut
1910,uppercut
1953,uppercut
1981,uppercut
